id,title,budget,release_date,revenue,tagline,rating,director_id
45660,Arlington Road,21500000,1999-03-19,0,Your Paranoia Is Real.,7.0,5291
45661,Metegol,22000000,2013-07-18,24000000,There's only one team this summer.,6.0,5645
45662,To Rome with Love,17000000,2012-04-20,73244881,,5.6,5457
45663,Firefox,18000000,1982-06-13,70687344,...the most devastating killing machine ever built... his job... steal it!,5.5,5087
45664,"South Park: Bigger, Longer & Uncut",21000000,1999-06-30,0,UH-OH.,7.1,5646
45665,Death at a Funeral,9000000,2007-02-09,46,From director Frank Oz comes the story of a family that puts the F U in funeral.,6.9,4947
45666,Teenage Mutant Ninja Turtles III,21000000,1993-03-17,42000000,The Turtles Are Back....In Time.,5.1,5647
45667,Hardball,32000000,2001-09-14,40222729,The most important thing in life is showing up,6.3,5115
45668,Silver Linings Playbook,21000000,2012-09-08,205738714,Watch For The Signs,6.9,5123
45669,Freedom Writers,21000000,2007-01-05,41170784,Their story. Their world. Their future.,7.5,5235
45670,For Colored Girls,0,2010-11-05,37000000,Many voices. One poem.,7.0,5554
45671,The Transporter,21000000,2002-10-02,43928932,Rules are made to be broken.,6.6,4873
45672,Never Back Down,20000000,2008-03-04,41627431,Win or lose... Everyone has their fight.,6.4,5523
45673,The Rage: Carrie 2,21000000,1999-03-11,17762705,Looks Can Kill,5.1,5648
45674,Away We Go,17000000,2009-06-05,14899417,,6.7,4764
45675,Swing Vote,21000000,2008-08-01,17600000,One ordinary guy is giving the candidates a reason to run.,5.8,5649
45676,Moonlight Mile,21000000,2002-09-09,10011050,,6.5,4938
45677,Tinker Tailor Soldier Spy,30000000,2011-09-16,0,How do you find an enemy who is hidden right before your eyes?,6.6,5650
45678,Molly,0,1999-10-22,0,Innocence is bliss. See the world through her.,5.5,5651
45679,The Beaver,21000000,2011-02-11,970816,He's here to save Walter's life.,6.3,5538
45680,The Best Little Whorehouse in Texas,35000000,1982-07-23,69701637,With Burt and Dolly this much fun just couldn't be legal!,5.9,5652
45681,eXistenZ,15000000,1999-04-14,2856712,Play it. Live it. Kill for it.,6.7,5229
45682,Raiders of the Lost Ark,18000000,1981-06-12,389925971,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,7.7,4799
45683,Home Alone 2: Lost in New York,18000000,1992-11-19,358991681,He's up past his bedtime in the city that never sleeps.,6.3,4885
45684,Close Encounters of the Third Kind,20000000,1977-11-16,303788635,We are not alone.,7.2,4799
45685,Pulse,38000000,2006-08-11,29907685,You are now infected.,5.0,5653
45686,Beverly Hills Cop II,20000000,1987-05-18,299965036,,6.1,4923
45687,Bringing Down the House,20000000,2003-03-07,132675402,"Everything he needed to know about life, she learned in prison.",5.4,4998
45688,The Silence of the Lambs,19000000,1991-02-01,272742922,To enter the mind of a killer she must challenge the mind of a madman.,8.1,5009
45689,Wayne's World,20000000,1992-02-14,121697323,You'll laugh. You'll cry. You'll hurl.,6.5,5654
45690,Jackass 3D,20000000,2010-10-15,117224271,Don't try this at home,6.4,5655
45691,Jaws 2,20000000,1978-06-16,187884007,Just when you thought it was safe to go back in the water...,5.9,5656
45692,Beverly Hills Chihuahua,20000000,2008-10-03,149281606,50% Warrior. 50% Lover. 100% Chihuahua.,4.9,4913
45693,The Conjuring,13000000,2013-07-18,318000141,Based on the true case files of the Warrens,7.4,4794
45694,Are We There Yet?,32000000,2005-01-20,97918663,24 hours. 350 miles. His girlfriend's kids. What could possibly go wrong?,5.2,5116
45695,Tammy,20000000,2014-07-02,100525432,She hit the road. The road hit back.,5.0,5513
45696,School of Rock,35000000,2003-10-03,131282949,He just landed the gig of his life: 5th grade.,6.7,5535
45697,Mortal Kombat,18000000,1995-08-18,122195920,Nothing In This World Has Prepared You For This.,5.4,4974
45698,White Chicks,37000000,2004-06-23,113086475,They're going deep undercover.,6.3,5100
45699,The Descendants,20000000,2011-09-09,177243185,The South Pacific ain't that terrific.,6.7,5451
45700,Holes,20000000,2003-04-18,0,Some secrets are too big to keep hidden.,6.7,4984
45701,The Last Song,0,2010-03-31,0,"A story about family, first love, second chances and the moment in life that lead you back home.",6.9,5296
45702,12 Years a Slave,20000000,2013-10-18,187000000,The extraordinary true story of Solomon Northup,7.9,5657
45703,Drumline,20000000,2002-12-13,57588485,Half time is game time,6.2,5480
45704,Why Did I Get Married Too?,20000000,2010-04-02,60072596,Marriage is an institution they're committed to.,6.1,5554
45705,Edward Scissorhands,20000000,1990-12-05,53000000,His scars run deep.,7.5,4785
45706,Me Before You,20000000,2016-06-02,207945075,#LiveBoldly,7.6,5658
45707,Madea's Witness Protection,0,2012-06-29,0,"Believe it or not, they know too much.",5.9,5554
45708,The French Connection,1800000,1971-10-09,41158757,There are no rules and no holds barred when Popeye cuts loose!,7.4,5170
45709,Bad Moms,20000000,2016-07-28,183936074,Party like a mother.,6.3,5659
45710,Date Movie,20000000,2006-02-17,48548426,An Unprotected Comedy,3.6,5465
45711,Return to Never Land,20000000,2002-02-14,109862682,The Classic Continues,6.1,5660
45712,Selma,20000000,2014-12-25,66787908,One dream can change the world.,7.4,5661
45713,The Jungle Book 2,20000000,2003-02-07,135680000,Feel the jungle beat,5.6,5662
45714,Boogeyman,20000000,2005-02-04,67192859,You thought it was just a story.,4.6,5331
45715,Premonition,20000000,2007-02-08,84146832,Reality is only a nightmare away,5.8,5663
45716,The Tigger Movie,30000000,2000-02-11,45554533,,6.3,5664
45717,Orphan,20000000,2009-07-24,41596251,Can you keep a secret?,6.7,5202
45718,Max,20000000,2015-06-26,43967255,Best Friend. Hero. Marine.,6.8,5427
45719,Epic Movie,20000000,2007-01-25,86865564,We know it's big. We measured.,3.2,5465
45720,Spotlight,20000000,2015-11-06,88346473,Break the story. Break the silence.,7.8,5665
45721,Lakeview Terrace,20000000,2008-09-19,27640028,What Could Be Safer Than Living Next to a Cop?,5.9,5612
45722,The Grudge 2,20000000,2006-10-13,39143839,"What Was Once Trapped, Will Now Be Unleashed",5.2,5666
45723,How Stella Got Her Groove Back,20000000,1998-08-14,37672350,Sometimes you have to break the rules to free your heart.,6.0,5380
45724,Bill & Ted's Bogus Journey,0,1991-07-19,0,Once... they made history. Now... they are history.,5.9,5199
45725,Man of the Year,20000000,2006-10-09,41237648,Elections are made to be broken.,5.8,5037
45726,The Black Hole,20000000,1979-12-18,35841901,A journey that begins where everything ends!,6.1,5667
45727,The American,20000000,2010-08-31,65464324,,5.8,5668
45728,Selena,20000000,1997-03-21,60000000,Discover the true story of one of America's brightest stars... that faded too soon.,7.0,5669
45729,Vampires Suck,20000000,2010-08-18,80547866,Some sagas just won't die.,4.2,5465
45730,Babel,25000000,2006-09-08,135330182,If You Want to be Understood...Listen,6.9,4874
45731,This Is Where I Leave You,19800000,2014-09-10,41296320,Welcome Home. Get Uncomfortable.,6.5,4842
45732,Doubt,20000000,2008-11-27,50907234,"There is no evidence. There are no witnesses. But for one, there is no doubt.",7.0,5670
45733,Team America: World Police,32000000,2004-10-10,50907422,Putting The 'F' back in 'Freedom',6.6,5646
45734,Texas Chainsaw 3D,20000000,2013-01-03,47241945,Evil wears many faces.,5.3,5433
45735,Copycat,0,1995-10-27,0,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",6.4,4988
45736,Scary Movie 5,20000000,2013-04-11,78378744,Evil is coming. Bring protection.,4.6,5338
45737,Paint Your Wagon,20000000,1969-10-15,31678778,Stake Your Claim To The Musical Goldmine of '69!,6.2,5671
45738,Milk,20000000,2008-11-26,54586584,Never Blend In.,7.1,5283
45739,Risen,20000000,2016-02-19,46069568,Witness the manhunt that changed the course of human history,5.7,4814
45740,Ghost Ship,35000000,2002-10-25,68349884,Sea Evil,5.3,5672
45741,A Very Harold & Kumar Christmas,19000000,2011-11-04,35387212,Christmas comes prematurely.,6.0,5673
45742,Wild Things,20000000,1998-03-20,67200000,They're dying to play with you.,6.3,5674
45743,The Stepfather,0,2009-10-16,0,Daddy's home.,5.4,5675
45744,The Debt,20000000,2010-04-11,45636368,Every secret comes with a price.,6.3,5157
45745,High Fidelity,30000000,2000-03-17,47126295,"A comedy about fear of commitment, hating your job, falling in love and other pop favorites.",7.0,5249
45746,One Missed Call,20000000,2008-01-04,0,What will it sound like when you die?,4.7,5676
45747,Eye for an Eye,20000000,1996-01-12,0,What do you do when justice fails?,5.8,5585
45748,The Bank Job,20000000,2008-02-28,64822796,,6.6,4904
45749,Eternal Sunshine of the Spotless Mind,20000000,2004-03-19,72258126,You can erase someone from your mind. Getting them out of your heart is another story.,7.9,4911
45750,You Again,20000000,2010-09-24,32005248,What doesn't kill you... is going to marry your brother.,6.0,5203
45751,Street Kings,20000000,2008-04-10,65569869,Their city. Their rules. No prisoners.,6.3,4811
45752,The World's End,20000000,2013-07-18,46089287,Good food. Fine ales. Total Annihilation.,6.7,4987
45753,Nancy Drew,0,2007-06-15,0,Small Town Girl. Big Time Adventure.,5.8,5677
45754,Daybreakers,20000000,2009-01-06,51416464,"In 2019, The Most Precious Natural Resource... Is Us.",6.0,5678
45755,She's Out of My League,20000000,2010-03-11,49779728,"When she's this hot, You get one shot.",5.9,5679
45756,Monte Carlo,20000000,2011-07-01,17425000,She's having the time of someone else's life.,6.0,5680
45757,Stay Alive,9000000,2006-03-24,27105095,You die in the game - you die for real.,5.3,5681
45758,Quigley Down Under,0,1990-10-17,0,There's a price on his head. A girl on his mind. And a twinkle in his eye.,6.5,5272
45759,Alpha and Omega,20000000,2010-09-17,39300000,A Pawsome 3D Adventure,5.3,5682
45760,The Covenant,20000000,2006-09-08,37597471,Only the power of Hell can help them.,5.2,4958
45761,Stick It,0,2006-04-21,0,The world of competitive gymnastics is about to be turned on its head.,6.3,5683
45762,Shorts,40000000,2009-08-21,28972508,Not So TALL Tales From The Director Of 'Spy Kids',5.1,5097
45763,To Die For,20000000,1995-05-20,21284514,All she wanted was a little attention.,6.7,5283
45764,Nerve,20000000,2016-07-27,83707310,Are you a watcher or a player?,7.1,5684
45765,Appaloosa,20000000,2008-09-12,20211394,Feelings get you killed.,6.3,5685
45766,Vampires,20000000,1998-04-15,0,From the Master of Evil. Comes a New Breed of Terror,5.8,5227
45767,Psycho,806948,1960-06-16,32000000,The master of suspense moves his cameras into the icy blackness of the unexplored!,8.2,5686
45768,My Best Friend's Girl,20000000,2008-09-19,36620508,It's funny what love can make you do...,5.4,5214
45769,Endless Love,20000000,2014-02-12,34077920,Say Goodbye to Innocence,6.7,5687
45770,Georgia Rule,20000000,2007-05-11,0,"In this family, attitude doesn't skip a generation.",5.6,5053
45771,Under the Rainbow,20000000,1981-07-31,2297493,Who knew so many little people would throw such a huge party?,4.9,5688
45772,Ladyhawke,20000000,1985-03-27,18432000,No force in Heaven will release them. No power on Earth can save them.,6.8,4866
45773,Simon Birch,20000000,1998-09-11,18253415,Destiny has big plans for little Simon Birch.,6.5,4895
45774,Reign Over Me,20000000,2007-03-23,22222308,Let in the unexpected.,7.1,5689
45775,Into the Wild,15000000,2007-09-11,56255142,Into the heart. Into the soul.,7.8,5270
45776,School for Scoundrels,20000000,2006-09-29,17807569,Life's A Game. Learn How To Play.,5.6,4993
45777,Silent Hill: Revelation 3D,20000000,2012-10-10,52302796,This Halloween prepare for a 3D ride through hell.,5.0,5690
45778,From Dusk Till Dawn,19000000,1996-01-19,25836616,One night is all that stands between them and freedom. But it's going to be a hell of a night.,6.9,5097
45779,Pooh's Heffalump Movie,0,2005-02-11,0,There's something new in the Hundred Acre Wood.,6.4,5691
45780,Home for the Holidays,0,1995-11-02,17519169,We'll do it every year..until we get it right,6.3,5538
45781,功夫,20000000,2004-02-10,100914445,So many gangsters...so little time.,7.2,5692
45782,The Country Bears,35000000,2002-07-26,0,It's A Bear Getting The Family Together!,4.3,5693
45783,The Kite Runner,20000000,2007-10-14,73276047,There is a way to be good again.,7.3,4773
45784,21 Grams,20000000,2003-09-06,60427839,How much does life weigh?,7.2,4874
45785,Paparazzi,20000000,2004-09-03,16605763,One good shot deserves another.,5.8,5694
45786,A Guy Thing,20000000,2003-01-17,17432163,Boy meets girl. Boy meets girl's cousin.,5.3,5695
45787,Loser,0,2000-07-21,0,Dare to be different.,5.0,5696
45788,Capitalism: A Love Story,20000000,2009-09-06,17436509,"Ask not what your C.E.O. can do for you, but what you can do for your C.E.O.",7.0,5697
45789,The Greatest Story Ever Told,20000000,1965-02-15,15473333,,6.5,5698
45790,Secret in Their Eyes,19500000,2015-10-14,34854990,The truth lies in the most unexpected places.,6.2,5699
45791,Disaster Movie,25000000,2008-08-29,14109284,Your favorite movies are going to be destroyed.,3.0,5465
45792,Armored,20000000,2009-12-04,22942221,Who will be the last man standing?,5.5,5313
45793,The Man Who Knew Too Little,20000000,1997-11-14,13801755,"He’s on a mission so secret, even he doesn’t know about it.",6.5,4988
45794,What's Your Number?,20000000,2011-09-30,30426096,Ally's looking for the best ex of her life.,6.2,5700
45795,Lockout,20000000,2012-04-12,32204030,Take no prisoners.,5.8,5701
45796,Envy,40000000,2004-04-30,0,"Success didn’t go to his head, it went to his neighbor.",4.8,5037
45797,Crank: High Voltage,20000000,2009-04-16,34560577,"Stay Charged, Stay Alive!",5.9,5156
45798,Bullets Over Broadway,0,1994-10-14,0,,7.0,5457
45799,One Night with the King,20000000,2006-10-13,13391174,Feel The Touch Of Destiny,6.1,5702
45800,The Quiet American,30000000,2002-11-22,27674124,,6.4,4880
45801,The Weather Man,20000000,2005-10-20,12482775,Dave Spritz is about to take his best shot . . . at life,6.0,4763
45802,Undisputed,20000000,2002-08-23,12398628,Two Enemies ... The Mob ... The Ultimate Showdown.,6.1,5141
45803,Ghost Town,0,2008-09-19,0,He sees dead people... and they annoy him.,6.4,5147
45804,12 Rounds,20000000,2009-03-19,17280326,Survive all 12,5.7,4958
45805,Let Me In,20000000,2010-10-01,24145613,Innocence dies. Abby doesn't.,6.7,4818
45806,3 Ninjas Kick Back,0,1994-05-06,0,"Colt, Rocky and Tum Tum are back for bigger kicks in an all new adventure",4.5,5703
45807,Be Kind Rewind,0,2008-01-20,0,"You name it, we shoot it.",6.2,4911
45808,Mrs Henderson Presents,0,2005-09-09,0,,6.4,5249
45809,Triple 9,20000000,2016-02-19,12639297,The Code on the Street is Never Black & White,5.6,5594
45810,Deconstructing Harry,20000000,1997-08-26,10686841,Harry Block has written a best seller... bout his best friends... he revealed their deepest secrets... and they're not pleased... now Harry Block is going to Hell...,7.3,5457
45811,Three to Tango,20000000,1999-10-22,0,All's fair in the war of love.,5.4,5704
45812,Burnt,20000000,2015-10-02,36606743,Never underestimate a man with everything to lose.,6.3,5571
45813,We're No Angels,20000000,1989-12-15,0,Escaped convicts disguised as priests. It'll take a miracle to get away with this one.,5.6,5193
45814,Everyone Says I Love You,20000000,1996-12-06,0,,6.5,5457
45815,Death Sentence,20000000,2007-08-31,16974459,Protect what's yours.,6.5,4794
45816,Everybody's Fine,21000000,2009-12-04,0,Frank's travelling light but carrying excess baggage.,6.5,5367
45817,Superbabies: Baby Geniuses 2,0,2004-08-27,9109322,Meet the new generation of superheroes.,1.9,5705
45818,The Man,0,2005-09-08,12382362,One guy walks the walk. The other talks and talks.,5.4,5002
45819,Code Name: The Cleaner,20000000,2007-01-05,10337477,,4.7,5002
45820,Connie and Carla,20000000,2004-04-16,11341016,"When you follow your dream, there's no telling what you'll become.",6.4,5083
45821,Sweet Charity,8000000,1969-01-01,20000000,Love is what it's all about!,6.5,4985
45822,Inherent Vice,20000000,2014-12-25,11110975,"Under the paving stones, the beach!",6.5,5363
45823,Doogal,0,2006-02-24,0,Things are about to get hairy.,3.2,5706
45824,Battle of the Year,20000000,2013-09-21,16549477,The World is watching,5.9,5707
45825,An American Carol,20000000,2008-10-03,7000000,Laugh like you're country depends on it.,4.1,5253
45826,Machete Kills,12000000,2013-09-12,15008161,Trained to kill. Left for dead. Back for more.,5.3,5097
45827,Willard,22000000,2003-03-14,0,"When the cat's away, the rats will play.",5.8,5708
45828,Strange Wilderness,0,2008-02-01,6575282,This ain't March of the Penguins.,4.7,5560
45829,Topsy-Turvy,0,1999-09-03,0,Gilbert & Sullivan & So Much More,6.7,5709
45830,Little Boy,20000000,2015-04-23,6420319,Believe the impossible.,7.0,5710
45831,A Dangerous Method,15000000,2011-09-30,27462041,Why deny what you desire the most.,6.2,5229
45832,A Scanner Darkly,8700000,2006-05-25,7659918,Everything Is Not Going To Be OK,6.8,5535
45833,Chasing Mavericks,0,2012-10-25,0,Legends Start Somewhere,7.0,5182
45834,Alone in the Dark,20000000,2005-01-28,10442808,Can mankind defeat the army of darkness unleashed by an ancient evil cult?,3.1,5148
45835,Bandslam,20000000,2009-08-06,5210988,Band Together,5.4,5531
45836,Birth,20000000,2004-09-08,0,Be careful what you wish for.,5.9,5711
45837,A Most Violent Year,20000000,2014-12-30,12007070,The result is never in question. Just the path you take to get there.,6.5,5712
45838,Passchendaele,0,2008-10-17,0,,6.3,5713
45839,Flash of Genius,0,2008-09-07,0,"Corporations have time, money, and power on their side. All Bob Kearns had was the truth.",6.3,5714
45840,I'm Not There.,20000000,2007-10-01,4001121,All I Can Do Is Be Me Whoever That Is,6.6,5715
45841,The Cold Light of Day,20000000,2012-04-04,16863583,Be careful who you trust.,4.8,5716
45842,The Brothers Bloom,20000000,2008-09-09,5530764,They'd never let the truth come between them.,6.8,5453
45843,"Synecdoche, New York",21000000,2008-10-24,0,,7.4,5717
45844,もののけ姫,26500000,1997-07-12,159375308,The Fate Of The World Rests On The Courage Of One Warrior.,8.2,5417
45845,Bon voyage,0,2003-04-16,0,,5.7,5412
45846,Can't Stop the Music,0,1980-06-20,0,The Musical Comedy Smash of the 80's!,4.9,5718
45847,The Proposition,2000000,2005-10-06,5048693,This land will be civilized.,7.1,5594
45848,My All American,20000000,2015-11-13,0,Hope never quits,6.8,5719
45849,Marci X,20000000,2003-08-22,1675706,Uptown Gets Down.,3.3,5592
45850,Equilibrium,20000000,2002-12-06,5359645,"In a future where freedom is outlawed, outlaws will become heroes.",6.9,5482
45851,黃石的孩子,40000000,2008-07-03,7400000,"War made them orphans, one man made them legends",6.5,4908
45852,The Yards,0,2000-04-27,0,He's the target of the most merciless family in New York. His own.,6.0,5520
45853,The Oogieloves in the Big Balloon Adventure,0,2012-08-29,0,,2.2,5720
45854,By the Sea,10000000,2015-11-12,3727746,,5.4,5086
45855,Steamboy,20000000,2004-07-17,0,He will save the future.,6.4,5721
45856,The Game of Their Lives,0,2005-01-01,0,,5.8,5722
45857,All Good Things,0,2010-12-03,0,The perfect love story. Until it became the perfect crime.,5.9,5723
45858,Rapa Nui,20000000,1994-09-09,305070,,6.2,4814
45859,長江七號,0,2008-01-30,47301471,It's out of this world.,6.1,5692
45860,Les Visiteurs 2 : Les Couloirs du temps,0,1998-02-11,0,They come back!,5.8,5342
45861,Dylan Dog: Dead of Night,20000000,2011-03-16,4634062,No pulse? No problem,4.5,5381
45862,People I Know,20000000,2002-11-21,0,,5.5,5724
45863,The Tempest,20000000,2010-12-10,346594,,6.0,5266
45864,Regression,0,2015-10-01,17671101,Fear always finds its victim,5.3,5076
45865,三国之见龙卸甲,0,2008-04-03,0,,6.6,5099
45866,Butterfly on a Wheel,20000000,2007-07-27,0,Lives will be broken,6.3,5725
45867,Zambezia,20000000,2012-06-05,0,Airborne to be wild.,5.3,5726
45868,ராமானுஜன்,0,2014-07-11,0,,5.0,5727
45869,Dwegons,0,2014-01-24,0,,0.5,5728
45870,Hands of Stone,20000000,2016-08-26,0,No más. No surrender.,6.1,5729
45871,Survivor,20000000,2015-05-21,0,His Next Target is Now Hunting Him,5.4,5204
45872,The Frozen Ground,27220000,2013-07-18,5496951,The hunter becomes the hunted,6.1,5730
45873,The Painted Veil,19400000,2006-12-09,0,Sometimes the greatest journey is the distance between two people.,7.1,5644
45874,Der Baader Meinhof Komplex,27000000,2008-09-24,0,,7.1,5636
45875,Dances with Wolves,22000000,1990-11-09,424208848,Inside everyone is a frontier waiting to be discovered.,7.6,5018
45876,Bad Teacher,20000000,2011-05-16,216197492,She doesn't give an F.,5.4,5320
45877,Sea of Love,19000000,1989-09-15,110879513,Deception is dangerous. Desire is deadly.,6.7,5137
45878,A Cinderella Story,19000000,2004-07-10,70067909,Once upon a time... can happen any time.,6.1,5731
45879,Scream,14000000,1996-12-20,173046663,Someone has taken their love of scary movies one step too far.,7.0,5307
45880,Thir13en Ghosts,0,2001-10-26,0,"There are ghosts around us all the time. Most of them don't want to hurt us. But, there are exceptions...",5.4,5672
45881,The Shining,19000000,1980-05-22,44017374,A masterpiece of modern horror.,8.1,5089
45882,Back to the Future,19000000,1985-07-03,381109762,He's the only kid ever to get into trouble before he was born.,8.0,4804
45883,House on Haunted Hill,19000000,1999-10-29,40846082,Evil loves to party.,5.5,5337
45884,I Can Do Bad All By Myself,0,2009-09-11,0,,6.0,5554
45885,Fight Valley,27000000,2016-07-22,0,One way in. No way out.,3.9,5732
45886,The Switch,19000000,2010-05-11,49830607,The most unexpected comedy ever conceived.,5.9,5104
45887,Just Married,18000000,2003-01-09,101564935,Welcome to the honeymoon from hell.,5.3,4842
45888,The Devil's Double,19100000,2011-02-11,5728213,"The 80's were brilliant, if you were in charge.",6.5,4859
45889,Thomas and the Magic Railroad,0,2000-07-26,0,Little Engines CAN Do Big Things...,4.6,5733
45890,The Crazies,20000000,2010-02-26,54956140,Fear Thy Neighbor,6.2,4869
45891,千と千尋の神隠し,15000000,2001-07-20,274925095,The tunnel led Chihiro to a mysterious town...,8.3,5417
45892,風暴,0,2013-12-12,0,,5.9,5734
45893,The Bounty,25000000,1984-05-04,8613462,"After 200 years, the truth behind the legend.",6.5,4904
45894,The Book Thief,0,2013-11-08,76586316,Courage beyond words.,7.4,5735
45895,Sex Drive,19000000,2008-10-16,18755936,He's leaving virgin territory,6.0,5155
45896,Leap Year,19000000,2010-01-08,29922472,Anna planned to propose to her boyfriend on February 29th. This is not her boyfriend.,6.4,5736
45897,The Fall of the Roman Empire,19000000,1964-03-24,4750000,The Most Magnificent Re-Creation . . . Of An Ancient Empire . . . Launches A New Epoch In Motion Pictures . . .,6.0,5737
45898,Take Me Home Tonight,19000000,2011-03-04,6928068,Best. Night. Ever.,6.2,5738
45899,Won't Back Down,0,2012-09-28,5310554,If you can't beat the system... change it,5.8,5739
45900,The Nutcracker,19000000,1993-11-24,2119994,The joy of the New York City Ballet in an exciting family holiday motion picture.,5.6,5740
45901,Kansas City,18000000,1996-08-16,0,"Kansas City, 1934. Anything could happen here. One night it did.",6.1,5741
45902,Indignation,0,2016-07-29,0,Based on the novel by Philip Roth.,6.8,5742
45903,The Amityville Horror,19000000,2005-04-15,108047131,What happened over the next 28 days has never been explained.,6.0,5743
45904,Adaptation.,19000000,2002-12-06,32801173,"From the creator of Being John Malkovich, comes the story about the creator of Being John Malkovich.",7.3,4932
45905,Land of the Dead,15000000,2005-06-24,46770602,The dead shall inherit the Earth.,6.0,4991
45906,逃出生天,0,2013-03-10,0,,5.8,5274
45907,Fear and Loathing in Las Vegas,18500000,1998-05-22,10680275,"Buy the ticket, take the ride.",7.2,5014
45908,The Invention of Lying,18500000,2009-09-13,31912793,In a world where everyone can only tell the truth... This guy can lie.,6.0,5744
45909,Neighbors,18000000,2014-05-08,268157400,Family vs. Frat,6.2,5310
45910,The Mask,23000000,1994-07-29,351583407,From zero to hero.,6.6,4926
45911,Big,18000000,1988-06-03,151668774,You're Only Young Once But For Josh It Might Just Last A Lifetime.,6.9,5245
45912,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,18000000,2006-11-01,261572744,"Come to Kazakhstan, it's nice!",6.5,5088
45913,Legally Blonde,18000000,2001-07-13,141774679,Don't judge a book by its hair color!,6.1,5035
45914,Star Trek III: The Search for Spock,18000000,1984-05-31,87000000,A dying planet. A fight for life.,6.4,5609
45915,The Exorcism of Emily Rose,19000000,2005-09-09,144216468,What happened to Emily?,6.3,5004
45916,Deuce Bigalow: Male Gigolo,17000000,1999-12-10,65535067,He charges $10 but he’s willing to negotiate.,5.5,4821
45917,Left Behind,16000000,2014-10-03,19682924,The End Begins,3.7,5745
45918,The Family Stone,0,2005-12-14,0,Feel The Love,6.2,5680
45919,Barbershop 2:  Back in Business,18000000,2004-01-20,65070412,Let your hair down,5.6,5380
45920,Bad Santa,23000000,2003-11-26,76488889,He doesn't care if you're naughty or nice.,6.5,5746
45921,Austin Powers: International Man of Mystery,16500000,1997-05-02,67683989,"If he were any cooler, he'd still be frozen, baby!",6.5,4948
45922,My Big Fat Greek Wedding 2,18000000,2016-03-23,88923251,People change. Greeks don't.,5.5,5367
45923,Diary of a Wimpy Kid: Rodrick Rules,21000000,2011-03-25,72417394,Welcome to the next grade,6.3,4856
45924,Predator,18000000,1987-06-11,98235548,"If it bleeds, we can kill it...",7.3,4890
45925,Amadeus,18000000,1984-10-26,51973029,...Everything you've heard is true,7.8,5187
45926,Prom Night,0,2008-04-10,14796236,A Night To Die For.,4.8,5675
45927,Mean Girls,17000000,2004-04-30,129042871,Welcome to girl world.,6.9,4955
45928,Under the Tuscan Sun,0,2003-04-30,0,Life offers you a thousand chances ... all you have to do is take one.,6.4,5747
45929,Gosford Park,19800000,2001-11-07,87754044,Tea at four. Dinner at eight. Murder at midnight.,6.8,5741
45930,Peggy Sue Got Married,18000000,1986-10-05,41382841,"Knowing what you know now, what would you do differently?",5.9,5179
45931,Birdman,18000000,2014-08-27,103215094,or (The Unexpected Virtue of Ignorance),7.4,4874
45932,Blue Jasmine,18000000,2013-07-25,99206215,Blue Moon. I used to know the words. Now they're all a jumble.,7.0,5457
45933,United 93,15000000,2006-04-28,76286096,"September 11, 2001. Four planes were hijacked. Three of them reached their target. This is the story of the fourth.",6.9,4876
45934,Honey,18000000,2003-11-24,62646763,Her dream. Her terms,6.0,5561
45935,Spy Hard,18000000,1996-05-24,0,All the action. All the women. Half the intelligence.,4.9,5748
45936,The Fog,1000000,1980-02-08,21378361,Lock your doors. Bolt your windows. There's something in THE FOG!,6.4,5227
45937,Soul Surfer,18000000,2011-04-08,47088990,"When you come back from a loss, beat the odds, and never say never, you find a champion.",6.9,5749
45938,Catch-22,18000000,1970-06-24,24911670,,6.7,5031
45939,Observe and Report,0,2009-04-10,24007324,"Right now, the world needs a hero.",5.6,5750
45940,Conan the Destroyer,18000000,1984-06-29,100000000,The most powerful legend of all is back in a new adventure.,5.8,5568
45941,Raging Bull,18000000,1980-11-14,23000000,,7.7,4809
45942,Love Happens,18000000,2009-09-18,36133014,Sometimes when you least expect it...,5.6,5751
45943,Young Sherlock Holmes,18000000,1985-12-04,0,"Before a lifetime of adventure, they lived the adventure of a lifetime.",6.7,5037
45944,Fame,0,2009-01-01,0,,5.5,5752
45945,127 Hours,18000000,2010-11-05,35692920,There is no force more powerful than the will to live.,7.0,5222
45946,Small Time Crooks,0,2000-05-19,0,They took a bite out of crime,6.4,5457
45947,Center Stage,18000000,2000-05-12,17200925,Life doesn't hold tryouts.,6.8,5753
45948,Love the Coopers,17000000,2015-11-12,24000000,"Christmas means comfort, joy and chaos.",5.4,5631
45949,Catch That Kid,18000000,2004-02-06,16702864,They're on a mission without permission.,4.9,5754
45950,Life as a House,18000000,2001-10-25,0,"Seen from a distance, it's perfect.",7.2,5328
45951,Steve Jobs,30000000,2015-10-09,34441873,Can a great man be a good man?,6.8,5222
45952,"I Love You, Beth Cooper",18000000,2009-07-10,0,Popularity is nice. Popular girls are not.,5.1,4885
45953,Youth in Revolt,18000000,2009-09-11,0,"Every ""Revolution"" Needs A Leader",5.9,5519
45954,The Legend of the Lone Ranger,18000000,1981-08-20,2945600,"The untold story of the man behind the mask, and the legend behind the man.",3.7,5755
45955,The Tailor of Panama,21000000,2001-02-11,28008462,"In a place this treacherous, what a good spy needs is a spy of his own.",6.2,5756
